mode,epoch,iter,lr,memory,data_time,loss,time,accuracy_top-1,accuracy_top-5
val,1.0,313.0,0.005,,,,,82.3,99.27
val,2.0,313.0,0.0049,,,,,88.11,99.71
val,3.0,313.0,0.0048,,,,,89.31,99.67
val,4.0,313.0,0.00471,,,,,91.32,99.74
val,5.0,313.0,0.00461,,,,,90.28,99.79
val,6.0,313.0,0.00452,,,,,92.12,99.87
val,7.0,313.0,0.00443,,,,,92.75999,99.89
val,8.0,313.0,0.00434,,,,,92.91,99.85
val,9.0,313.0,0.00425,,,,,93.06,99.82
val,10.0,313.0,0.00417,,,,,92.98,99.85
